"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2018-19","Fall","MGT","5124","Business Research Methods","Lowry","3.55","16.7","33.3","50","0","0","0","0","0","0","0","0","0","0","6","86430","  3"
"2018-19","Fall","MKTG","4404","Field Practicum In Marketing","Collins","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","86519","  3"
"2018-19","Spring","ACIS","4554","Networks & Telecomm Business","Shen","2.62","33.3","16.7","0","0","16.7","0","0","0","16.7","0","0","16.7","0","6","10174","  3"
"2018-19","Spring","ACIS","4684","IS Security and Assurance","Belanger","2.95","0","33.3","16.7","0","16.7","16.7","16.7","0","0","0","0","0","0","6","10175","  3"
"2018-19","Spring","ACIS","5014","Info Sys Audit & Ctrl","Barkhi","3.57","0","66.7","33.3","0","0","0","0","0","0","0","0","0","0","6","10180","  3"
"2018-19","Spring","BIT","6414","Seminar in Information Tech","Wang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","11535","  3"
"2018-19","Spring","MKTG","3104","Marketing Management","Wertalik","3.62","50","16.7","0","33.3","0","0","0","0","0","0","0","0","0","6","16648","  3"
"2018-19","Spring","MKTG","4404","Field Practicum In Marketing","Collins","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","16669","  3"
"2018-19","Spring","FIN","5174","Corporate Financial Risk Mgt","Kumar","3.78","66.7","16.7","0","16.7","0","0","0","0","0","0","0","0","0","6","20018","  3"
"2018-19","Spring","MGT","6224","Appl Meas in Bus Research","Beal","3.48","33.3","0","50","16.7","0","0","0","0","0","0","0","0","0","6","20400","  3"
"2018-19","Spring","ACIS","5654","Advanced Accounting Analytics","Shortt","3.38","0","33.3","50","16.7","0","0","0","0","0","0","0","0","0","6","20680","  3"
"2019-20","Fall","ACIS","4554","Networks & Telecomm Business","Shen","2.85","16.7","0","0","33.3","33.3","0","0","16.7","0","0","0","0","0","6","80165","  3"
"2019-20","Fall","ACIS","4554","Networks & Telecomm Business","Shen","3.02","0","16.7","0","50","33.3","0","0","0","0","0","0","0","1","6","80166","  3"
